asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth,category_name,price_capped,reviews_capped
B0BHN4XYKB,Sony HT-SC40 2.1ch Soundbar with Wireless Subwoofer HTSC40,https://m.media-amazon.com/images/I/31E23fMHKQL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BHN4XYKB,4.1,0,128.4,0.0,82,False,0,Home Audio & Theater Products,128.4,0.0
B08G8L3Q29,Toddler Baby Girl Fall Winter Clothes Newborn Infant Floral Pullover Sweatshirt T-Shirts+Pants 3PCS Outfits Set,https://m.media-amazon.com/images/I/61c16ok-3GL._AC_UL320_.jpg,https://www.amazon.com/dp/B08G8L3Q29,4.4,0,7.99,0.0,264,False,0,Baby Girls' Clothing & Shoes,7.99,0.0
B07DN5PKVN,"B BELK Compatible with MacBook Air 13 inch Case 2010-2017 Release Model A1466 A1369, Clear Plastic Laptop Hard Shell Case + Keyboard Cover + Screen Protector for MacBook Air 13.3 inch, Transparent",https://m.media-amazon.com/images/I/614iZL7EUeL._AC_UL320_.jpg,https://www.amazon.com/dp/B07DN5PKVN,4.4,0,14.99,0.0,65,False,0,Laptop Accessories,14.99,0.0
B09WDZJ8C1,Playmobil Starter Pack Wedding,https://m.media-amazon.com/images/I/71tdTp-YFWL._AC_UL320_.jpg,https://www.amazon.com/dp/B09WDZJ8C1,4.6,0,19.99,21.99,220,False,0,Building Toys,19.99,0.0
B0C5WKKZ98,"SallyFashion 100PCS Thank You Tags, Gold Stamp Gift Tags with Strings White Paper Tags Hanging Label for Wedding Bridal Party Baby Shower Invitation Thanksgiving",https://m.media-amazon.com/images/I/718xigiH55L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C5WKKZ98,4.7,0,5.99,6.49,12,False,100,Gift Wrapping Supplies,5.99,0.0
B01D1S2PS2,"Hide & Drink, Rustic Leather Pencil Case (Small Personal Items) Artist Carpenter Slim Roll Handmade :: Bourbon Brown",https://m.media-amazon.com/images/I/61FO2oAAYYL._AC_UL320_.jpg,https://www.amazon.com/dp/B01D1S2PS2,4.7,0,28.99,0.0,9,False,0,"Arts, Crafts & Sewing Storage",28.99,0.0
B09RQ47FB3,"Lilly Pulitzer Bluetooth Earbuds with Protective Charging Case, Wireless Headphones, Coming in Hot",https://m.media-amazon.com/images/I/81UtCnMTn7L._AC_UL320_.jpg,https://www.amazon.com/dp/B09RQ47FB3,4.3,3,58.44,0.0,71,False,0,Headphones & Earbuds,58.44,3.0
B0C3RJZC83,"ARGB Controller Kit for PC RGB Case Fans，ARGB Strip and Splitter,SATA Power, Easy to Control RGB and Single Light Effect Style of Computer ARGB Fans, 14 Key Remote Control Convenient to Switch Colors",https://m.media-amazon.com/images/I/611BaraV79L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C3RJZC83,4.8,0,12.99,0.0,63,False,0,Computer Components,12.99,0.0
B08KWM16VY,"Kerotin Hair Growth Serum with Castor Oil for Hair Loss in Women, DHT Blocker, Promotes Scalp Care & Thicker Fuller Hair, Thickening Drops, Natural, Sulfate & Cruelty Free, Made in USA",https://m.media-amazon.com/images/I/51S-DIdtj9L._AC_UL320_.jpg,https://www.amazon.com/dp/B08KWM16VY,3.9,0,29.0,0.0,47,False,900,Hair Care Products,29.0,0.0
B09YH8WS95,Elegant Pink Gothic Dress Puff Sleeve Dress with Bows,https://m.media-amazon.com/images/I/71JsdzSSDbL._MCnd_AC_UL320_.jpg,https://www.amazon.com/dp/B09YH8WS95,3.9,80,59.99,0.0,91,False,0,Girls' Clothing,59.99,80.0
